Premises Name,Certification Service Type,Service Types,Total Beds,Premises Website,Premises Address Other, Premises Address, Premises Address Suburb/Road, Premises Address Town/City, Premises Address Post Code, DHB Name,Certificate Name,Certification Period (Months),Certificate/License End Date,Current Auditor,Legal Name,Legal Entity Address Other, Legal Entity Address, Legal Entity Address Suburb/Road, Legal Entity Address Town/City, Legal Entity Address Post Code, Legal Entity Postal Address, Legal Entity Postal Address Suburb/Road, Legal Entity Postal Address Town/City, Legal Entity Postal Address Post Code, Legal Entity Website,
Southern Cross Hospital North Harbour,NGO Hospital,"Surgical, Medical",70,,,232 Wairau Road,Wairau Valley,Auckland,0627,Waitemata District Health Board,Southern Cross Healthcare Limited - Southern Cross Hospital North Harbour,48,29-5-2026,The DAA Group Limited,Southern Cross Healthcare Limited,AMP Centre,"Floor 10, 29 Customs Street West",,Auckland,1010,PO Box 5341,,Auckland,1141,,
Southern Cross Hospital Rotorua,NGO Hospital,"Medical, Surgical",22,,,58 Otonga Road,Springfield,Rotorua,2015,Lakes District Health Board,Southern Cross Healthcare Limited - Southern Cross Hospital Rotorua,36,5-6-2028,The DAA Group Limited,Southern Cross Healthcare Limited,AMP Centre,"Floor 10, 29 Customs Street West",,Auckland,1010,PO Box 5341,,Auckland,1141,,
Southern Cross Hospital Wellington,NGO Hospital,Surgical,37,,,90 Hanson Street,Newtown,Wellington,6021,Capital and Coast District Health Board,Southern Cross Hospitals Limited - Wellington,No change,23-5-2026,The DAA Group Limited,Southern Cross Healthcare Limited,AMP Centre,"Floor 10, 29 Customs Street West",,Auckland,1010,PO Box 5341,,Auckland,1141,,
St George's Hospital,NGO Hospital,"Medical, Surgical",115,http://www.stgeorges.org.nz/,,249 Papanui Road,Strowan,Christchurch,8014,Canterbury District Health Board,St George's Hospital Incorporated - St George's Hospital,48,8-9-2029,The DAA Group Limited,St George's Hospital Incorporated,,249 Papanui Road,,Christchurch,8014,Private Bag 4737,,Christchurch,8140,,
St Marks Road Surgical Centre,NGO Hospital,Surgical,4,,,3 St Marks Road,Remuera,Auckland,1050,Auckland District Health Board,St Marks Surgical Centre Limited - St Marks Road Surgical Centre,36,25-6-2028,The DAA Group Limited,St Marks Surgical Centre Limited,St Marks Road Surgical Centre,3 St Marks Road,,Auckland,1050,PO Box 109149,,Auckland,1149,,
Dannevirke Community Hospital,NGO Hospital,"Maternity, Medical",11,,,26 Barraud Street,,Dannevirke,4930,MidCentral District Health Board,Tararua Health Group Limited - Dannevirke Community Hospital,No change,15-8-2026,BSI Group New Zealand Ltd,Tararua Health Group Limited,,Barraud Street,,Dannevirke,4930,PO Box 275,,Dannevirke,4942,,
Te Awamutu Birthing,NGO Hospital,Maternity,7,,,15/670 Cambridge Road,,Te Awamutu,3800,Waikato District Health Board,Te Awamutu Birthing Limited - Te Awamutu Birthing,48,2-9-2029,The DAA Group Limited,Te Awamutu Birthing Limited,,389 KihiKihi Road,,Te Awamutu,3800,15/670 Cambridge Road,,Te Awamutu,3800,,
Te Omanga Hospice,NGO Hospital,Medical,8,,,136 Woburn Road,Woburn,Lower Hutt,5010,Hutt Valley District Health Board,Te Omanga Hospice Trust - Te Omanga Hospice,36,11-9-2027,The DAA Group Limited,Te Omanga Hospice Trust,,136 Woburn Road,,Lower Hutt,5010,PO Box 30814,,Lower Hutt,5040,,
Waiorua - He Tawharau,NGO Hospital,Mental health,6,https://ttoh.iwi.nz/,,307 Omahu Road,Frimley,Hastings,4120,Hawke's Bay District Health Board,Te Taiwhenua o Heretaunga Trust - Waiorua - He Tawharau,12,28-7-2026,The DAA Group Limited,Te Taiwhenua o Heretaunga Trust,Waiorua Crisis Respite - He TÃÂwharau,821 Orchard Road,,Hastings,4120,PO Box 718,,Hastings,4156,https://ttoh.iwi.nz/,
Allevia Hospital Ascot,NGO Hospital,"Medical, Surgical",97,http://www.mercyascot.co.nz/,,90 Green Lane East,Remuera,Auckland,1051,Auckland District Health Board,The Ascot Hospital and Clinics Limited - Allevia Hospitals,36,3-7-2028,The DAA Group Limited,The Ascot Hospital & Clinics Limited,,98 Mountain Road,,Auckland,1023,PO Box 9911,,Auckland,1149,,
