Premises Name,Certification Service Type,Service Types,Total Beds,Premises Website,Premises Address Other, Premises Address, Premises Address Suburb/Road, Premises Address Town/City, Premises Address Post Code, DHB Name,Certificate Name,Certification Period (Months),Certificate/License End Date,Current Auditor,Legal Name,Legal Entity Address Other, Legal Entity Address, Legal Entity Address Suburb/Road, Legal Entity Address Town/City, Legal Entity Address Post Code, Legal Entity Postal Address, Legal Entity Postal Address Suburb/Road, Legal Entity Postal Address Town/City, Legal Entity Postal Address Post Code, Legal Entity Website,
Fertility Plus,Fertility,Fertility,0,,,214 Green Lane West,Epsom,Auckland,1051,Auckland District Health Board,Auckland District Health Board - Fertility Plus,No change,1-10-2025,Global-Mark Pty Limited,Auckland District Health Board,"Level 51, Building 10, Greenlane Clinical Centre",214 Green Lane West,,Auckland,1051,Private Bag 92024,,Auckland,1142,http://www.adhb.govt.nz/,
Fertility Associates Auckland,Fertility,Fertility,0,,"Level 3, Asceot Central",7 Ellerslie Racecourse Drive,Remuera,Auckland,1051,Auckland District Health Board,Fertility Associates Limited,No change,1-10-2025,Global-Mark Pty Limited,Fertility Associates Limited,Level 2,7 Ellerslie Racecourse Drive,,Auckland,1051,Private Bag 28910,,Auckland,1541,,
Fertility Associates Christchurch,Fertility,Fertility,0,,"Level 1, Hiatt Chambers",249 Papanui Road,Strowan,Christchurch,8014,Canterbury District Health Board,Fertility Associates Limited,No change,1-10-2025,Global-Mark Pty Limited,Fertility Associates Limited,Level 2,7 Ellerslie Racecourse Drive,,Auckland,1051,Private Bag 28910,,Auckland,1541,,
Fertility Associates Dunedin,Fertility,Fertility,0,,"Floor 4, Burns House",10 George Street,Dunedin Central,Dunedin,9016,Southern District Health Board,Fertility Associates Limited,No change,1-10-2025,Global-Mark Pty Limited,Fertility Associates Limited,Level 2,7 Ellerslie Racecourse Drive,,Auckland,1051,Private Bag 28910,,Auckland,1541,,
Fertility Associates Hamilton,Fertility,Fertility,0,,Level 2,62 Tristram Street,Hamilton Central,Hamilton,3204,Waikato District Health Board,Fertility Associates Limited,No change,1-10-2025,Global-Mark Pty Limited,Fertility Associates Limited,Level 2,7 Ellerslie Racecourse Drive,,Auckland,1051,Private Bag 28910,,Auckland,1541,,
Fertility Associates Tauranga,Fertility,Fertility,0,https://www.fertilityassociates.co.nz/,"First floor, 46-48 Girven Road",48 Girven Road,,Mount Maunganui,3116,Bay of Plenty District Health Board,Fertility Associates Limited,No change,1-10-2025,Global-Mark Pty Limited,Fertility Associates Limited,Level 2,7 Ellerslie Racecourse Drive,,Auckland,1051,Private Bag 28910,,Auckland,1541,,
Fertility Associates Wellington,Fertility,Fertility,0,https://www.fertilityassociates.co.nz/,Level 11,155 The Terrace,Wellington Central,Wellington,6011,Capital and Coast District Health Board,Fertility Associates Limited,No change,1-10-2025,Global-Mark Pty Limited,Fertility Associates Limited,Level 2,7 Ellerslie Racecourse Drive,,Auckland,1051,Private Bag 28910,,Auckland,1541,,
Repromed Auckland,Fertility,Fertility,0,,,77 Carlton Gore Road,Newmarket,Auckland,1023,Auckland District Health Board,Repromed Auckland Limited - Repromed Auckland,No change,1-10-2025,Global-Mark Pty Limited,Repromed Auckland Limited,,77 Carlton Gore Road,,Auckland,1023,PO Box 109017,,Auckland,1149,,
